wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wc,central,4,0,2.4,25.0,30.0,0,1,0.9971621883372529
L,wc,central,4,0,2.4,30.0,40.0,0,1,0.9931471521190793
L,wc,central,4,0,2.4,40.0,60.0,0,1,0.9893670065096749
L,wc,central,4,0,2.4,60.0,80.0,0,1,1.0302737526812173
L,wc,central,4,0,2.4,80.0,140.0,0,1,0.9917651841969167
L,wc,central,4,0,2.4,140.0,200.0,0,1,0.9710459542101272
L,wc,up_stat,4,0,2.4,25.0,30.0,0,1,1.014450659675464
L,wc,up_stat,4,0,2.4,30.0,40.0,0,1,1.008733721298453
L,wc,up_stat,4,0,2.4,40.0,60.0,0,1,1.004193294576012
L,wc,up_stat,4,0,2.4,60.0,80.0,0,1,1.056642008678887
L,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.0254564088333364
L,wc,up_stat,4,0,2.4,140.0,200.0,0,1,1.0820984075286137
L,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9801663363218734
L,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.9777998983582897
L,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.974758223637243
L,wc,down_stat,4,0,2.4,60.0,80.0,0,1,1.0045566477898344
L,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.9591651855555317
L,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.8709908223387358
L,wc,up_syst,4,0,2.4,25.0,30.0,0,1,1.0049141166722995
L,wc,up_syst,4,0,2.4,30.0,40.0,0,1,0.9975547179942816
L,wc,up_syst,4,0,2.4,40.0,60.0,0,1,0.9951355586113998
L,wc,up_syst,4,0,2.4,60.0,80.0,0,1,1.0382956823907241
L,wc,up_syst,4,0,2.4,80.0,140.0,0,1,1.006387050469068
L,wc,up_syst,4,0,2.4,140.0,200.0,0,1,1.0063448184880452
L,wc,down_syst,4,0,2.4,25.0,30.0,0,1,0.9862430043991087
L,wc,down_syst,4,0,2.4,30.0,40.0,0,1,0.9908414988709504
L,wc,down_syst,4,0,2.4,40.0,60.0,0,1,0.9704971079713748
L,wc,down_syst,4,0,2.4,60.0,80.0,0,1,1.0101624929052626
L,wc,down_syst,4,0,2.4,80.0,140.0,0,1,0.9851400328901077
L,wc,down_syst,4,0,2.4,140.0,200.0,0,1,0.9085410653406739
M,wc,central,4,0,2.4,25.0,30.0,0,1,0.9607504414356668
M,wc,central,4,0,2.4,30.0,40.0,0,1,0.9287993279075696
M,wc,central,4,0,2.4,40.0,60.0,0,1,0.9593605035344855
M,wc,central,4,0,2.4,60.0,80.0,0,1,0.9354916379491139
M,wc,central,4,0,2.4,80.0,140.0,0,1,0.9490908791397823
M,wc,central,4,0,2.4,140.0,200.0,0,1,0.8078395928493685
M,wc,up_stat,4,0,2.4,25.0,30.0,0,1,1.0108465320571467
M,wc,up_stat,4,0,2.4,30.0,40.0,0,1,0.9685231689095783
M,wc,up_stat,4,0,2.4,40.0,60.0,0,1,0.9933052476488144
M,wc,up_stat,4,0,2.4,60.0,80.0,0,1,0.9845307036994597
M,wc,up_stat,4,0,2.4,80.0,140.0,0,1,1.0088193949560371
M,wc,up_stat,4,0,2.4,140.0,200.0,0,1,0.9836587226153815
M,wc,down_stat,4,0,2.4,25.0,30.0,0,1,0.9130987827251107
M,wc,down_stat,4,0,2.4,30.0,40.0,0,1,0.8906823948616576
M,wc,down_stat,4,0,2.4,40.0,60.0,0,1,0.9265622004124682
M,wc,down_stat,4,0,2.4,60.0,80.0,0,1,0.8888530384506361
M,wc,down_stat,4,0,2.4,80.0,140.0,0,1,0.8928227225878315
M,wc,down_stat,4,0,2.4,140.0,200.0,0,1,0.6618138008580251
